postUrl,postAccount,postViews,postLikes,postCommentCount,postComments,postSaved,postShared,postCaption,postHashtags,postDate,postDateCollected
https://www.tiktok.com/@jinxknsaudios/video/7268228401796877570,jinxknsaudios,11200000,1100000,3800,"[""Who's Britney Manson"", 'I love the other part a lot the: she dates bill Kaulitz part', 'I thought it was Ayesha erotica 💀😭', 'BRITNEY MANSON A-T-E SO HARD🦅🦅🦅', 'I thought this was Ayesha damnn 🔥🔥', 'Size zero and my boots from the Valentino im a self made runway queen and my dad is Alexander McQueen 🤭', 'ALL HAIL BRITNEY MANSON 🛐🛐', 'can I listen to her christian????', 'This song is definitely going to be the song of the year', 'HELP THIS SONG IS SOOOO ICONIC', 'IM A SELFMADE RUNWAY QUEEN AND MY DAD IS ALEXANDER MCQUEEN', 'I LOVE BRITNEY MANSON SM😭🫶', 'This song literally makes me jump out my bed and start walking like I’m Naomi Campell', 'FASHION FASHION FASHION F-F-F-FASHION ‼️‼️🔥🔥', 'jsuis entrain de me taper un édit de moi dans ma tête 💀😭', '“my dad is lightning mcqueen', 'FASHION FASHION😍😍😍', 'FASHION FASHION A-A-A- FASHION.', 'BRITNEY MANSON 🙇\u200d♀️', 'I love this song', 'I thought that was ayesha 😭', 'that is my school shoes..', '@! enno ✮ this pls [flushed]', 'Been with britney during her ""til an agency notices me"" videos and omg never been so proud of someone in tiktok before 🥺🥰🥰🥰', 'FASHION FASHION', 'Fashion Britney Manson', 'MY RELIGION MY CONFESSION FASHION FASHION A-A CONFESSION\n🗣🎙', 'MY BIGGEST FLEX Is that shes FROM MY COUNTRY🥰', 'I need more songs Rec like these', '@✧ ˗ˏˋ Lola ´ˎ˗ ✧ this song.', 'slowed>sped up', 'I’m so addicted', 'BRITNEY AND AYESHA SHOULD COLLAB OMLLLL', 'im obsessed w this song😻', '@𝖑𝖆𝖛𝖊𝖓𝖉𝖊𝖗 || 🕷 this song is so good for what 😭🙏', 'Britney Manson is THE ICON🔥', 'MY COUSIN ACTUALLY THOUGHT THIS WAS AYESHA EROTICA😭😭', 'BRO LITERALLY A BRITNEY MANSON EDIT WAS ABOVE THIS', 'britney ate']",262400,17400,this song oml //,"['jinxknsaudios', 'fyp', 'editaudio', 'audio', 'audioaccount', 'britneymanson']",2023-08-17,2023-11-10
https://www.tiktok.com/@avaannom/video/7274280471289171232,avaannom,1700000,57300,402,"['Ok yall without going back to vid tell me what was the colour of her swim suit in first part. Then check my reply', 'Ouch!! 😘', 'Wow 🌷🌷 ♥️♥️♥️♥️Very beautiful ♥️♥️', 'This literally makes me want to 1. Get in better shape 2. Move to Miami 😫😂😂', 'Hi', '🥺🥺🥺', 'wow', '🥺🥺🥺🥺', 'mesmerizing', 'Join my telegram in bio 🥰', 'wow i love it', 'Algorithm', 'Cute🔥', 'Number One ♥️♥️♥️', 'very nice❤❤❤', 'Truly a work of art', 'Her hair and face is pretty', '10 plus🥰', 'wow 😍😍😍😍😍😍😍', 'sweet geeezuss', 'have mercy🥰🥰🥰🥰🥰🥰😳😳😳😳yesyes', 'algorithm', 'very nice']",10400,2292,Beatriz Corbett modelling for Miami Swim Week 2023,"['miamiswim', 'fyp', 'fy', 'model', 'fashion', 'sexy', 'miamiswimweek', 'miamiswimweek2023']",2023-09-02,2023-11-10
https://www.tiktok.com/@enfntsterribles/video/7255267730922704155,enfntsterribles,1400000,122400,1202,"['Now this is what we call a fashion show', 'This is so Berlin. I love it', 'THE WAY MY JAW DROPPED W THE FIRST OUTFIT I WAS SO UNSUSPECTING', 'The model diversity *chefs kiss*', 'No because they picked the perfect model for every single outfit wow', 'The casting was insaaaane', 'The models are amazing', 'THE RED DRESS WITH THE BAYONETTA GLASSES??😻😻😻😻😻💗🙏🙏🙏🙏🙏🙏💗💗💗💗💗💗💗', '@Kate gasped', 'I NEED THESE FOR CHURCH ASAP', 'Come through diversityyyyy', '@Bianca Mina @ʕ⁎̯͡⁎ʔ༄ @Carmella black theme ba kamo', 'no because the things I’d do for these outfits-', 'the model diversity- im gonna cry/pos', 'The 3rd one 😮', 'these models slayed so hard the assignment was understood', 'THIS IS AAAAAZING!!! 🔥🔥🔥', ""Berlin c'est vraiment un autre monde 🤯😍😍"", 'THEY ATE OMG. I was not expecting the amount of gorgeous outfits', 'The dress with all the crosses was so cool', 'bro what the hell sorta fashion is dis 😭😭']",14300,3196,Spring/Summer 2024 at,"['Namilia', 'BerlinFashionWeek', 'BFW', 'FashionWeek', 'fashion']",2023-07-13,2023-11-10
https://www.tiktok.com/@wholovewomen/video/7277173232141077793,wholovewomen,6300000,380000,1459,"['thought that was Riley Reid', 'y karely ?', 'THE REAL MODELS', 'peachy🤤', 'If it aint snowin…..', 'Name plz!', 'is this not riley reid', 'Beatriz Corbett 🥰', 'Mais... 😶 REVIENT !!', 'Models now= 🚫', 'I’m in love 😍', 'Algorithm', 'beautiful', 'yes baby yes', 'Slim thick 🥩', 'Yep', 'Holy mother of god', 'perfect', 'God miracols', 'damn🥰', '😏 so beautiful']",65400,17000,Beatriz Corbett 😍,"['fyp', 'pourtoi', 'fashion', 'model', 'bikini', 'beatrizcorbett']",2023-09-10,2023-11-10
https://www.tiktok.com/@aestheticsthingz4/video/7149217354499525934,aestheticsthingz4,14400000,1800000,16500,"['shein outfits are fire LMAO you tried it', 'sorry i can’t afford to pay £50 for some cargos', 'Vous parlez mais en vraie sur shein y’a des belles pièces dans la collection dazy', 'WHATS WRONG WITH SHEIN????', 'these clothes are on shein!?', 'Id think these clothes are from shein tbh', 'the first one is cute tho', 'these outfits scream shein bffr💀', 'you paying for it? no so why u worried abt it', 'well if ur gonna gatekeep...', 'Shein>', 'Wait wheres the first top from', 'like half of these can be found on shein🤷🏻\u200d♀️', ""sorry but i'm not paying 90 bucks to get a shirt i can buy for quarter the price"", 'okay and i still have the style u have😭don’t make me unfollow', '“when a girl is yelling at me but she’s not spoiled and rich”****', '""she\'s wearing all shein"" *proceeds to show the most typical outfits on earth*', 'Ain’t that a shirt from SHEIN (first top)', ""sorry I'm not rich like u"", 'Sorry that not everyone can spend 300 on clothes', 'I love SHEIN what’s wrong wit it', 'shein outfits are so cute fr why are people hating on it?', 'money can’t buy taste lmao', 'We aren’t that rich 💀😭', 'Not everyone has money', 'Honestly I’ve never had a bad experience with shein ❤️', 'you can find the intro outfit on shein', 'First pants and shirt is from shein', 'they literally have clothes like this on shein 😭', 'I like shein tho😭 i love the fits and i cant find th3m anywhere else', 'Disagree', 'but their clothes they sell are so much better then the ones i can buy in my whole country.', 'we’re are the first jeans from ???', 'girlie ur clothes may not be from shein but they surely give the shein vibe', 'first one is on shein tho LOL']",244900,3456,my opinion,"['foryou', 'shein', 'outfit', 'fashion', 'clothes', 'joke', 'pinterestoutfit', 'outftitinspo', 'style', 'OOTD', 'aesthetic', 'fallfashion', 'fitcheck', 'sheinhaul', 'fashiontrends', 'trending', 'viral', 'fypシ']",2022-09-30,2023-11-10
https://www.tiktok.com/@whatemwore/video/7153306814765894918,whatemwore,6300000,215400,819,"['Where is EVERYTHING from?!? 😅', ""First realistic workwear TikTok I've ever seen ❤️❤️you're my inspiration"", 'Wednesday outfit is Zara details on my insta and saved to ‘AW reels’ story highlight 🥰', 'whats the Tuesday bag plss 🥰', 'There is the first brown bag from? Thank you for sharing', 'Where is the black bag from ? 🫢🫶🏻💕', 'how much do u earn?', 'Where is the belt from? 🥰', 'These outfits are giving me Naomi watts vibes from the watcher', 'Somehow I see Sarah Paulson 😅', 'Where is Thursday’s dress from??', 'You are stunning!!!', 'Where does the pant ouf friday from ?', 'Slay', 'Remote workers: MONDAY to FRIDAY in pijamas! 🙌🏼 thank god 🙌🏼', 'Ooh I have the Friday work from home Reiss trousers and I love them!', 'Élégante et classe !', 'Links please', 'Love the Song choice!', 'Winter is the most season that can dress up unlucky SEA never have that chance']",48000,5636,A week of realistic work outfits 👩🏽‍💻🫶🏽,"['fyp', 'workwear', 'corporateoutfits', 'officeoutfits', 'fashiontiktok']",2022-10-11,2023-11-10
https://www.tiktok.com/@styffas/video/7272402514236951841,styffas,1200000,320200,1995,"['I dress like Adam sandler', 'I have a uniform 😭', 'my friends are always like ‘why do you dress like youre abt to offer a business deal’ like bro the deal is if i dont look good IM NOT GOING🔥🔥🔥', 'Me after my 1000 dollar shopping spree 🤭', 'Wanna share some of that', ""it's one of the only times I leave my house, gotta make it count-"", '@MEOWMEOWMEOWMEOW I LOVED UR EARRINGS TODAY BTWWWW♥️♥️♥️♥️♥️😭😭', 'THIS IS SO FRRRR BRO', 'My.. uniform 😞', 'And then the rest of the days I look homeless', 'After this week, I’m being hella lazy with my fits unless I’m feeling a lil cute 😭', 'I got made fun of for dressing up properly on the first day of school 😭', 'Only for the school air to hit and suddenly ur sweating and ur hair flops', 'PTDRR C’EST TELLEMENT MOI', ""I go wearing the save zip up jacket all week, re-wear my fav pairs of pants slot not bc it's all I have that's just what I'm comfortable in"", '@🎸📷 this reminded me of u 😭', '@Casey 🎸 this is how I imagine u 😁', 'Do you hun show off now so they know you show up and show out no matter the environment', 'YOU ALWAYS LOOK SO SWAG AHHHH LOVE ALL OF YOUR OUTFITS. YOU SLAY HARD', 'UAAAAHJHH TYSM YOU TOO THOUGH ABSOLUTE SLAY<333', 'I look like a homeless man', 'your art is so silly eepy and scrumptious it tastes like strawberry cheesecake with hello kitty toppings', 'Best comment ever received']",43300,5108,We gotta look good everywhere!!,"['fypシ', 'fyp', 'foryou', 'foryoupage', 'meme', 'fashion', 'fashionbritneymanson', 'school', 'friends']",2023-08-28,2023-11-10
https://www.tiktok.com/@fashi0nd0ll/video/7247912989326593287,fashi0nd0ll,45400000,6400000,13400,"['I can’t lie, Yeezy fashion shows are the blueprint 🤭', 'DIOR WITH KIM JONES🥵🔥', 'The quickest job for the models', 'this concept is insane', 'The fastest fashion show ever', 'that was it?', 'This is insane', '""You have unlocked new characters""', 'incredible', 'Dior never disappoints', 'Unique', 'hunger games core', 'I love this presentation', 'This is so cool!!', 'Men’s Dior has never disappointed me,not even once.', 'damn', 'I’m pretty sure they clipped the beginning and the ending together. Cuz there was models walking in between at some point.', 'Wait COME BACK', 'The designer said i got ish to do 😂😂', 'Le concept est incroyable']",334200,34700,Dior Menswear Spring/Summer 2024,"['dior', 'ss24', 'mensfashion', 'fyp', 'foryou', 'fashiontiktok', 'catwalk', 'pfw', 'parisfashionweek', 'runway']",2023-06-23,2023-11-10
https://www.tiktok.com/@chatncat/video/7271141006454607106,chatncat,2200000,329600,1662,"['THE SONG🫶🏻', 'HI POOKIE', 'I’m a size 0 ( literally )', 'FASHION FASHION A A A FASHION 🔥🔥🔥', 'I SWEAR BRITNEY MANSON GONNA REPLY', 'FASHION FASHION FASHION', 'FASHION FASHION FASHION!!!', 'song name?', 'FASHION FASHION FASHION F-F-F-FASHION ‼️‼️', 'Literally forgot he was a fashion icon', 'FASHION ICONNN', '@🫶🤍Clara🤍🫶 FASHION', 'you should have put ""and my dad is gabriel agreste""', 'I was going to but I decided to follow the lyrics 😭🙏', 'song?', 'FINALLY', '@★cat noir ~★ I love fashion and you love Miraculous ladybug. Our favs in one video 🫦', 'FASHION FASHION FASHION', 'Song name?', 'he’s THE moment 🗣️🗣️🗣️🗣️', 'SO REAL', '@jemimah 🫶🏾 this ur man', 'WHAT SONG IS THIS??????!', 'Ok no but why did adrien ATE']",66700,6939,FASHION FASHION FASHION!!!!!!,"['adrienagreste', 'miraculousladybug', 'fyp', 'chatncat', 'adrienagresteedit']",2023-08-25,2023-11-10
https://www.tiktok.com/@choosedress20/video/7234366807476292865,choosedress20,3400000,369500,4073,"['how many ch', 'This creative idea is fantastic. I deeply appreciate it. Can you teach me how to execute it?', 'how to order', 'nice', 'so cute❤️😘', 'how to order please', 'please how to get order🥰🥰', 'How much is it?', 'cute', 'yess', 'price', 'How to order', 'nice', 'how to order', 'how to order', 'Cute', '👍👍👍 How to order', 'မှာချင်လို့မမ', 'အမဘယ်လောက်လဲ', 'မှာချင်လို့ရလားရှင့်']",18700,7465,ရှေ့ရက်ကsetလေးမရလိုက်တဲ့သူတွေအတွက် အရောင်သစ်လေးတွေနဲ့ထပ်ဝင်ထားတယ်နော် setလိုက်ယူလည်းရသလို ခွဲဝယ်ချင်လည်းရပါတယ်ရှင့်,"['choosedress', 'fashion', 'instock', 'tiktokmarketplace']",2023-05-17,2023-11-10
